,股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型
0,603206,N嘉环,43.98,20.92,20.92,17.44,17.44,6.39,5.47,-,55.8,41734,86916856.0,14.53,6384783749,1596196000,1.603206,沪A
1,300585,奥联电子,20.03,14.32,14.32,11.4,11.52,2.39,6.15,1.88,297.43,98376,132943161.0,11.93,2450311110,2291200000,0.300585,深A
2,301187,欧圣电气,20.0,32.46,32.46,26.2,26.3,5.41,59.34,1.21,39.63,256927,798143696.0,27.05,5927444676,1405494369,0.301187,深A
3,301001,凯淳股份,20.0,33.96,33.96,31.0,31.0,5.66,31.29,8.36,-73.12,62578,205349781.0,28.3,2716800000,679200000,0.301001,深A
4,300584,海辰药业,20.0,41.34,41.34,34.64,34.64,6.89,12.21,1.54,98.27,78182,301371024.0,34.45,4960800000,2647630676,0.300584,深A
5,300598,诚迈科技,19.99,42.2,42.2,34.09,34.59,7.03,5.92,2.4,-36.71,94791,371774896.0,35.17,6754404640,6753108636,0.300598,深A
6,300209,天泽信息,19.91,5.6,5.6,4.45,4.51,0.93,7.13,1.48,-21.89,255204,137881572.0,4.67,2363801048,2003558239,0.300209,深A
7,300298,三诺生物,15.51,18.17,18.45,15.2,15.4,2.44,2.03,2.36,39.29,92568,161849178.0,15.73,10261841701,8283093124,0.300298,深A
8,301010,晶雪节能,13.83,26.59,28.03,24.68,25.0,3.23,59.09,4.09,179.87,159542,424258848.0,23.36,2871720000,717930000,0.301010,深A
9,301185,鸥玛软件,12.85,18.44,19.61,15.68,15.98,2.1,20.91,5.73,145.19,76063,141850773.0,16.34,2829020544,670867484,0.301185,深A
10,301235,华康医疗,12.83,44.68,46.75,39.34,39.5,5.08,43.59,2.61,-137.42,101401,445641648.0,39.6,4718208000,1039338922,0.301235,深A
11,002195,二三四五,10.15,2.17,2.17,1.98,1.98,0.2,4.72,2.64,29.08,2660076,561619440.0,1.97,12422919429,12227110546,0.002195,深A
12,300273,*ST和佳,10.12,1.85,1.92,1.62,1.63,0.17,8.68,0.89,-12.46,544469,95577259.0,1.68,1465855300,1161090562,0.300273,深A
13,002103,广博股份,10.08,4.26,4.26,3.73,3.75,0.39,6.83,2.33,-38.05,288035,118175118.0,3.87,2276002780,1795489515,0.002103,深A
14,600651,飞乐音响,10.07,3.28,3.28,2.95,2.98,0.3,2.17,3.72,-34.0,269152,87133169.0,2.98,8223051889,4072398390,1.600651,沪A
15,600898,国美通讯,10.06,7.33,7.33,6.3,6.5,0.67,6.33,1.23,-50.06,159743,110072781.0,6.66,2091842627,1850999601,1.600898,沪A
16,600800,渤海化学,10.05,4.05,4.05,4.05,4.05,0.37,0.87,0.57,-18.59,69257,28049097.0,3.68,4802439699,3217066312,1.600800,沪A
17,603366,日出东方,10.05,4.27,4.27,4.01,4.01,0.39,0.69,1.24,-14.4,55052,23347322.0,3.88,3513783000,3416000000,1.603366,沪A
18,002799,环球印务,10.05,10.84,10.84,9.61,9.87,0.99,1.63,1.53,24.92,41173,43252388.0,9.85,2731680000,2731634472,0.002799,深A
19,000815,美利云,10.05,11.28,11.28,9.86,9.91,1.03,6.21,0.76,-1428.32,431599,453512720.0,10.25,7842567035,7842567035,0.000815,深A
20,002644,佛慈制药,10.04,8.99,8.99,7.88,7.93,0.82,2.61,1.6,53.39,133263,112281146.0,8.17,4590806430,4590806430,0.002644,深A
21,603963,大理药业,10.04,12.06,12.06,11.08,11.08,1.1,7.95,1.24,-206.51,174572,203037123.0,10.96,2649582000,2649582000,1.603963,沪A
22,002095,生 意 宝,10.03,13.16,13.16,11.6,11.7,1.2,3.12,1.64,142.5,78519,100133623.0,11.96,3325795200,3312131580,0.002095,深A
23,000066,中国长城,10.03,9.87,9.87,8.65,8.76,0.9,2.15,1.53,-68.09,632612,602306192.0,8.97,31838636989,29017668591,0.000066,深A
24,002062,宏润建设,10.03,7.13,7.13,6.66,7.0,0.65,14.3,1.52,19.1,1386276,968713008.0,6.48,7860825000,6909688718,0.002062,深A
25,600463,空港股份,10.03,7.9,7.9,7.0,7.0,0.72,3.43,1.04,-115.74,102964,78271654.0,7.18,2370000000,2370000000,1.600463,沪A
26,002907,华森制药,10.03,12.62,12.62,11.05,11.3,1.15,2.31,1.98,43.18,65889,78350838.0,11.47,5069606286,3604960270,0.002907,深A
27,603716,塞力医疗,10.02,14.16,14.16,12.58,12.65,1.29,2.81,1.17,34.26,56584,78284621.0,12.87,2903068941,2850738565,1.603716,沪A
28,002365,永安药业,10.02,14.6,14.6,12.8,13.1,1.33,20.28,1.17,21.26,495325,682507808.0,13.27,4302364500,3566348409,0.002365,深A
29,603033,三维股份,10.02,23.39,23.39,20.5,21.0,2.13,0.7,2.06,71.69,41475,93196351.0,21.26,13955867225,13955867225,1.603033,沪A
30,002780,三夫户外,10.02,13.18,13.18,12.04,12.5,1.2,4.97,1.83,216.57,64962,83845151.0,11.98,2077003065,1722003034,0.002780,深A
31,603191,望变电气,10.01,22.74,22.74,22.03,22.74,2.07,25.83,1.27,51.69,215135,488051088.0,20.67,7576226835,1894056714,1.603191,沪A
