,股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型
0,00601,稀镁科技,108.82,0.071,0.13,0.038,0.038,0.037,4.03,233.1,-1.41,265452978,21956179.0,0.034,467491694,467491694,128.00601,港股
1,06108,新锐医药,59.49,1.26,2.0,0.76,0.78,0.47,14.49,7.25,-745.94,242257700,337277632.0,0.79,2106526788,2106526788,128.06108,港股
2,08069,纵横游控股,32.86,0.465,0.6,0.4,0.4,0.115,3.91,72.38,-14.1,15635000,7384800.0,0.35,186000000,186000000,128.08069,港股
3,00509,世纪阳光,28.0,0.032,0.054,0.027,0.027,0.007,1.57,551.08,-0.13,71695875,2699107.0,0.025,146595739,146595739,128.00509,港股
4,03395,PERSTA,26.67,0.57,0.57,0.5,0.55,0.12,0.08,-,-8.38,350000,193120.0,0.45,246745316,246745316,128.03395,港股
5,01371,中国生态旅游,23.88,0.083,0.11,0.069,0.07,0.016,2.46,69.32,-1.0,76113200,6806308.0,0.067,256340703,256340703,128.01371,港股
6,00058,新威国际,19.35,0.185,0.185,0.14,0.14,0.03,0.02,0.08,-1.38,40000,6500.0,0.155,33226000,33226000,128.00058,港股
7,03978,卓越教育集团,18.97,0.345,0.345,0.275,0.275,0.055,0.17,1.77,-0.59,1402000,441550.0,0.29,292291245,292291245,128.03978,港股
8,01716,毛记葵涌,18.68,0.54,0.65,0.45,0.455,0.085,1.63,55.71,355.61,4390000,2413480.0,0.455,145800000,145800000,128.01716,港股
9,01000,北青传媒,18.64,0.7,0.7,0.7,0.7,0.11,0.0,1.0,-1.76,1000,700.0,0.59,138117000,38430700,128.01000,港股
10,08063,环球大通集团,18.18,0.13,0.132,0.11,0.11,0.02,0.2,2.7,-0.36,1005020,122466.0,0.11,66403187,66403187,128.08063,港股
11,08071,中彩网通控股,17.39,0.027,0.028,0.026,0.026,0.004,0.0,0.2,-8.74,25000,660.0,0.023,126523306,126523306,128.08071,港股
12,01440,DEYUN HOLDING,17.19,0.75,0.75,0.61,0.61,0.11,0.05,5.0,36.48,640000,441600.0,0.64,945000000,945000000,128.01440,港股
13,08621,METROPOLIS CAP,16.67,0.042,0.042,0.041,0.041,0.006,0.03,0.56,16.63,312000,13096.0,0.036,40320000,40320000,128.08621,港股
14,08513,官酝控股,16.67,0.14,0.14,0.135,0.14,0.02,0.02,1.88,-1.64,84000,11632.0,0.12,66692051,66692051,128.08513,港股
15,08462,中安控股集团,16.54,0.155,0.166,0.126,0.131,0.022,0.8,3.43,10.83,4810000,708825.0,0.133,93000000,93000000,128.08462,港股
16,08011,百田石油,15.56,0.208,0.208,0.172,0.185,0.028,0.05,4.87,9.13,2070000,371850.0,0.18,798092309,798092309,128.08011,港股
17,00033,安山金控,15.0,2.3,2.3,2.1,2.1,0.3,0.04,1.65,107.58,216000,471120.0,2.0,1235663739,1235663739,128.00033,港股
18,00205,财讯传媒,14.81,0.31,0.31,0.28,0.28,0.04,0.05,2.24,-4.76,290000,86400.0,0.27,191004246,191004246,128.00205,港股
19,01278,中国新城镇,13.95,0.098,0.099,0.098,0.099,0.012,0.0,-,7.18,2500,247.0,0.086,953172149,953172149,128.01278,港股
20,01026,环球实业科技,13.64,0.125,0.125,0.123,0.123,0.015,0.0,-,-17.62,250000,31220.0,0.11,689125000,689125000,128.01026,港股
21,08128,中国地热能,12.9,0.07,0.07,0.067,0.07,0.008,0.01,4.89,-3.26,264000,17816.0,0.062,316884761,316884761,128.08128,港股
22,08537,创辉珠宝,12.5,0.054,0.056,0.054,0.056,0.006,0.0,-,-11.6,30000,1640.0,0.048,40500000,40500000,128.08537,港股
23,08416,HM INTL HLDGS,12.36,0.1,0.102,0.1,0.102,0.011,0.02,4.41,10.3,75000,7650.0,0.089,40000000,40000000,128.08416,港股
24,00673,中国卫生集团,12.24,0.055,0.06,0.046,0.049,0.006,0.5,12.64,-26.97,21921050,1166336.0,0.049,241447120,241447120,128.00673,港股
25,01439,移动互联(中国),12.0,0.028,0.031,0.022,0.022,0.003,0.05,0.65,-0.43,730000,17915.0,0.025,38569935,38569935,128.01439,港股
26,02371,创联控股,11.9,0.047,0.048,0.038,0.041,0.005,0.54,1.35,7.86,36352000,1476072.0,0.042,317353897,317353897,128.02371,港股
27,02288,宏基资本,11.54,0.58,0.59,0.53,0.53,0.06,0.0,0.32,-9.71,3000,1710.0,0.52,217759260,217759260,128.02288,港股
28,08331,倍搏集团,11.11,0.3,0.3,0.3,0.3,0.03,0.01,0.71,4.28,20000,6000.0,0.27,47734320,47734320,128.08331,港股
29,00306,冠忠巴士集团,11.01,2.42,2.42,2.18,2.18,0.24,0.06,6.73,-16.97,304000,697240.0,2.18,1153799958,1153799958,128.00306,港股
30,01750,全达电器集团控股,10.87,0.051,0.063,0.046,0.046,0.005,4.47,57.82,-4.55,80490000,4639690.0,0.046,91800000,91800000,128.01750,港股
31,00657,环科国际,10.87,0.051,0.051,0.046,0.046,0.005,0.0,0.38,-7.43,32000,1512.0,0.046,99262020,99262020,128.00657,港股
33,01917,豆盟科技,10.17,0.065,0.065,0.063,0.063,0.006,0.0,0.08,-1.12,90000,5830.0,0.059,149500000,149500000,128.01917,港股
34,08607,纳尼亚集团,10.13,0.174,0.185,0.162,0.162,0.016,0.02,3.8,-3.59,190000,31015.0,0.158,139200000,139200000,128.08607,港股
35,09936,稀美资源,10.12,4.46,4.47,3.9,4.0,0.41,1.06,0.21,10.72,3165000,13274175.0,4.05,1338000000,1338000000,128.09936,港股
36,01201,天臣控股,10.0,0.33,0.335,0.3,0.31,0.03,0.44,1.26,-1.35,5382000,1670580.0,0.3,408042921,408042921,128.01201,港股
37,00132,中国兴业控股,10.0,0.44,0.54,0.4,0.4,0.04,0.0,17.59,-48.61,37000,15175.0,0.4,753424822,753424822,128.00132,港股
38,01226,中国投融资,9.8,0.56,0.56,0.51,0.51,0.05,0.0,-,5.64,0,-,0.51,182054096,182054096,128.01226,港股
39,01008,力图控股,9.8,0.28,0.28,0.255,0.255,0.025,0.0,0.38,50.88,38000,9790.0,0.255,439007698,439007698,128.01008,港股
40,00715,中泛控股,9.76,0.045,0.061,0.041,0.041,0.004,0.01,2.27,-0.14,1278000,57194.0,0.041,726419388,726419388,128.00715,港股
42,00668,东银国际控股,9.25,0.189,0.193,0.189,0.193,0.016,0.0,2.5,4.44,2000,386.0,0.173,240793286,240793286,128.00668,港股
43,00491,英皇文化产业,9.09,0.048,0.051,0.044,0.044,0.004,0.15,11.47,-0.8,4680000,220160.0,0.044,154240363,154240363,128.00491,港股
44,00313,裕田中国,9.09,0.012,0.013,0.01,0.01,0.001,0.29,17.84,-0.56,68000000,800500.0,0.011,280040247,280040247,128.00313,港股
46,01865,卓航控股,8.93,0.305,0.32,0.265,0.27,0.025,17.16,0.46,14.94,157836000,47456200.0,0.28,280600000,280600000,128.01865,港股
47,09929,澳达控股,8.77,0.062,0.062,0.057,0.057,0.005,0.07,4.96,-25.72,1390000,84400.0,0.057,124000000,124000000,128.09929,港股
48,00499,青岛控股,8.67,0.213,0.22,0.2,0.2,0.017,0.76,92.3,20.8,7605762,1522988.0,0.196,212691866,212691866,128.00499,港股
50,01480,恩达集团控股,8.33,1.3,1.44,1.18,1.18,0.1,0.01,40.0,6.75,16000,20820.0,1.2,312000000,312000000,128.01480,港股
51,00718,太和控股,8.33,0.078,0.087,0.077,0.077,0.006,0.03,14.11,-0.93,1580000,132720.0,0.072,409501548,409501548,128.00718,港股
52,00764,永恒策略,8.24,0.184,0.185,0.157,0.157,0.014,0.04,0.4,-3.51,1402254,236332.0,0.17,702807593,702807593,128.00764,港股
53,02528,尚晋国际控股,8.2,0.66,0.67,0.66,0.67,0.05,0.0,0.28,8.21,10000,6700.0,0.61,264000000,264000000,128.02528,港股
54,08450,钜京控股,8.16,0.053,0.053,0.053,0.053,0.004,0.01,1.09,-7.88,50000,2650.0,0.049,53000000,53000000,128.08450,港股
55,00721,中国金融国际,8.05,0.094,0.101,0.087,0.087,0.007,0.0,1.02,-12.15,210000,20790.0,0.087,1031333599,1031333599,128.00721,港股
56,08353,安科系统,8.0,0.405,0.41,0.33,0.34,0.03,0.02,43.33,11.0,78000,27420.0,0.375,163174799,163174799,128.08353,港股
57,08228,国艺集团控股,8.0,0.027,0.027,0.024,0.025,0.002,2.84,1.5,-0.13,28380000,738100.0,0.025,26969333,26969333,128.08228,港股
58,00833,华讯,8.0,0.27,0.27,0.25,0.25,0.02,0.01,8.55,3.68,53000,13825.0,0.25,255451417,255451417,128.00833,港股
59,01247,米格国际控股,7.94,0.68,0.68,0.61,0.62,0.05,0.11,2.21,-2.63,132000,82800.0,0.63,80294400,80294400,128.01247,港股
60,01379,温岭工量刃具,7.93,4.49,4.49,3.98,4.02,0.33,0.08,14.09,6.21,15500,63395.0,4.16,359200000,89800000,128.01379,港股
61,08035,骏高控股,7.89,0.205,0.205,0.19,0.19,0.015,0.03,1.32,7.09,180000,34600.0,0.19,123000000,123000000,128.08035,港股
62,08245,安悦国际控股,7.41,0.145,0.145,0.13,0.145,0.01,0.22,1.35,-1.76,1330000,174380.0,0.135,86782500,86782500,128.08245,港股
63,08218,毅高国际控股,7.41,0.145,0.145,0.145,0.145,0.01,0.02,0.25,-1.38,24000,3480.0,0.135,22884312,22884312,128.08218,港股
65,01450,世纪睿科,7.32,2.2,2.25,2.05,2.05,0.15,0.24,2.0,-32.31,2642000,5789940.0,2.05,2435230972,2435230972,128.01450,港股
66,02931,宝新置地,7.14,1.2,1.25,1.12,1.12,0.08,0.08,318.89,0.39,89799,107261.0,1.12,131042994,131042994,128.02931,港股
67,01757,俊裕地基,7.14,0.225,0.225,0.225,0.225,0.015,0.0,1.67,28.42,10000,2250.0,0.21,270000000,270000000,128.01757,港股
68,09600,新纽科技,6.98,2.3,2.32,2.0,2.01,0.15,0.44,1.3,113.36,3475700,7880474.0,2.15,1808983120,1808983120,128.09600,港股
69,08191,鸿伟亚洲,6.98,0.92,0.96,0.86,0.86,0.06,2.64,1.69,-1.39,1392200,1234839.0,0.86,48443691,48443691,128.08191,港股
70,01235,专业旅运,6.98,0.23,0.232,0.23,0.23,0.015,0.08,42.0,-5.68,420000,96640.0,0.215,117267570,117267570,128.01235,港股
71,01245,NIRAKU,6.96,0.246,0.246,0.23,0.23,0.016,0.01,6.1,-1.62,100000,23228.0,0.23,294179213,294179213,128.01245,港股
72,01738,飞尚无烟煤,6.9,1.24,1.24,1.16,1.16,0.08,0.0,0.87,-12.29,10000,12000.0,1.16,1711876792,1711876792,128.01738,港股
73,08456,民信国际控股,6.78,0.315,0.315,0.305,0.305,0.02,0.05,0.07,-1.11,100000,30980.0,0.295,66630287,66630287,128.08456,港股
74,01587,欣融国际,6.67,0.64,0.64,0.57,0.59,0.04,0.03,4.13,4.13,172000,100800.0,0.6,435200000,435200000,128.01587,港股
75,03860,EPS创健科技,6.61,1.29,1.32,1.29,1.32,0.08,0.0,0.56,-191.57,5000,6600.0,1.21,645000000,645000000,128.03860,港股
76,01859,煜盛文化,6.56,0.325,0.325,0.28,0.305,0.02,0.31,0.25,8.59,4935000,1495565.0,0.305,520000000,520000000,128.01859,港股
77,08170,全民国际,6.39,3.33,3.33,3.3,3.3,0.2,0.01,0.48,71.46,40000,132770.0,3.13,1369296000,1369296000,128.08170,港股
78,08280,中国数字视频,6.32,0.101,0.125,0.099,0.125,0.006,0.04,33.33,-0.5,280000,29076.0,0.095,63663532,63663532,128.08280,港股
79,01272,大唐环境,6.25,0.85,0.85,0.85,0.85,0.05,0.01,195.0,-9.9,39000,33330.0,0.8,2522410700,530651770,128.01272,港股
80,01166,星凯控股,6.25,0.068,0.071,0.061,0.061,0.004,0.03,0.72,0.8,620026,42961.0,0.064,161468199,161468199,128.01166,港股
81,08428,国茂控股,6.12,0.052,0.055,0.044,0.048,0.003,0.38,0.45,-0.62,1464000,73896.0,0.049,20217600,20217600,128.08428,港股
82,02273,固生堂,6.04,31.6,31.95,28.8,28.8,1.8,0.36,5.15,-11.74,828000,25298835.0,29.8,7280528073,7280528073,128.02273,港股
83,00474,信铭生命科技,6.02,0.088,0.09,0.078,0.078,0.005,0.07,1.45,-26.0,5268000,432558.0,0.083,650039879,650039879,128.00474,港股
84,00176,先机企业集团,6.0,0.053,0.056,0.05,0.052,0.003,0.02,0.4,-0.75,402000,21482.0,0.05,107726283,107726283,128.00176,港股
85,01842,植华集团,5.98,1.95,1.95,1.81,1.84,0.11,1.87,0.59,-648.27,18716000,35233240.0,1.84,1950000000,1950000000,128.01842,港股
86,02183,三盛控股,5.87,4.15,4.15,3.93,3.93,0.23,0.0,0.52,2.78,12000,49360.0,3.92,2035965100,2035965100,128.02183,港股
87,00227,第一上海,5.8,0.146,0.15,0.135,0.15,0.008,0.01,0.09,-1.63,160000,22568.0,0.138,228456619,228456619,128.00227,港股
88,09978,方圆生活服务,5.71,0.37,0.37,0.37,0.37,0.02,0.0,0.18,5.99,8000,2920.0,0.35,148000000,148000000,128.09978,港股
89,08131,辰罡科技,5.34,0.138,0.144,0.121,0.121,0.007,0.26,0.09,3.49,1220000,158500.0,0.131,65662224,65662224,128.08131,港股
90,01469,结好金融,5.26,0.8,0.8,0.8,0.8,0.04,0.0,0.2,3.47,4000,3200.0,0.76,2000000000,2000000000,128.01469,港股
91,00872,泰坦智华科技,5.26,0.06,0.06,0.057,0.057,0.003,0.0,0.29,-0.41,108000,6180.0,0.057,202492975,202492975,128.00872,港股
92,02312,中国金融租赁,5.17,0.122,0.123,0.116,0.116,0.006,0.0,-,-0.55,0,-,0.116,28214329,28214329,128.02312,港股
93,02017,沧海控股,5.17,0.305,0.31,0.28,0.31,0.015,0.0,1.94,4.91,14000,4220.0,0.29,188643110,188643110,128.02017,港股
94,08446,ITP HOLDINGS,5.13,2.05,2.05,1.9,1.93,0.1,0.85,0.87,-72.56,6770000,13185400.0,1.95,1640000000,1640000000,128.08446,港股
95,08420,NEXION TECH,5.0,0.21,0.21,0.2,0.2,0.01,0.0,0.43,-6.24,25000,5125.0,0.2,151200000,151200000,128.08420,港股
96,02239,国微控股,5.0,2.1,2.1,1.98,2.0,0.1,0.0,0.4,8.76,13000,25980.0,2.0,672742016,672742016,128.02239,港股
97,00910,中国三迪,5.0,0.42,0.42,0.4,0.4,0.02,0.0,-,10.3,0,-,0.4,2137047169,2137047169,128.00910,港股
98,00719,山东新华制药股份,5.0,7.56,7.88,7.0,7.0,0.36,11.51,2.84,11.47,22447020,168513319.0,7.2,5062381897,1474200000,128.00719,港股
99,01281,隆基泰和智慧能源,4.92,0.128,0.128,0.12,0.12,0.006,0.0,4.21,-5.51,16000,1930.0,0.122,190029312,190029312,128.01281,港股
100,00582,蓝鼎国际,4.87,0.237,0.246,0.237,0.246,0.011,0.0,1.66,-0.95,13200,3246.0,0.226,1001621797,1001621797,128.00582,港股
101,06116,拉夏贝尔,4.78,0.241,0.241,0.23,0.23,0.011,0.0,0.14,-0.13,8000,1855.0,0.23,131988866,51764342,128.06116,港股
102,01315,绿色经济,4.76,0.022,0.022,0.02,0.02,0.001,0.07,0.17,3.55,5228000,111544.0,0.021,165000000,165000000,128.01315,港股
103,01134,恒发光学,4.76,0.66,0.69,0.66,0.67,0.03,0.0,0.12,-154.21,24000,16000.0,0.63,330000000,330000000,128.01134,港股
104,00848,茂业国际,4.7,0.245,0.245,0.234,0.234,0.011,0.01,24.23,15.68,601000,140645.0,0.234,1259379870,1259379870,128.00848,港股
106,08401,源想集团,4.62,0.68,0.68,0.63,0.65,0.03,0.54,0.98,-10.23,1076000,698140.0,0.65,136000000,136000000,128.08401,港股
107,00328,ALCO HOLDINGS,4.62,0.136,0.136,0.13,0.13,0.006,0.03,0.42,-0.26,228000,29702.0,0.13,98361272,98361272,128.00328,港股
108,00620,大唐西市,4.49,1.63,1.84,1.53,1.56,0.07,0.01,0.17,-32.33,72000,115180.0,1.56,1088066125,1088066125,128.00620,港股
109,01005,MATRIX HOLDINGS,4.48,2.8,2.8,2.75,2.75,0.12,0.0,4.69,38.43,30000,83500.0,2.68,2117369276,2117369276,128.01005,港股
111,02448,恒宇集团,4.45,4.69,4.69,4.51,4.69,0.2,0.01,0.86,75.19,95000,436750.0,4.49,3780140000,3780140000,128.02448,港股
112,00391,美亚娱乐资讯,4.44,0.094,0.094,0.089,0.09,0.004,0.01,1.73,-13.97,860000,78620.0,0.09,556831421,556831421,128.00391,港股
114,01380,中国金石,4.35,0.024,0.024,0.024,0.024,0.001,0.0,1.72,-1.1,140100,3361.0,0.023,67969986,67969986,128.01380,港股
115,00755,上海证大,4.35,0.024,0.024,0.022,0.023,0.001,0.01,0.9,-0.17,1125000,25685.0,0.023,357104436,357104436,128.00755,港股
116,01138,中远海能,4.28,4.14,4.19,3.8,3.9,0.17,2.39,2.83,-3.05,30918000,126508136.0,3.97,19717544404,5365440000,128.01138,港股
117,08076,新利软件,4.17,0.05,0.05,0.05,0.05,0.002,0.0,0.44,-3.91,50000,2500.0,0.048,65862000,65862000,128.08076,港股
118,03681,中国抗体-B,4.17,2.5,2.5,2.4,2.4,0.1,0.01,0.86,-7.14,104100,252129.0,2.4,2515601000,2515601000,128.03681,港股
119,00471,中播控股,4.17,0.75,0.76,0.68,0.72,0.03,0.14,0.56,-3.2,1692000,1189920.0,0.72,885209291,885209291,128.00471,港股
120,08100,智易控股,4.11,0.38,0.38,0.365,0.365,0.015,0.0,2.5,-9.28,13000,4820.0,0.365,168890330,168890330,128.08100,港股
