,股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型
6,SIDU,Sidus Space Inc-A,51.78,2.99,4.5,2.81,3.95,1.02,575.87,657.49,-13.23,95445004,346733056.0,1.97,49556380,49556380,105.SIDU,美股
9,AREN,The Arena Group Holdings Inc,43.54,15.0,15.4,11.0,11.5,4.55,1.6,15.53,-2.97,284658,3864699.0,10.45,4029247710,267126510,107.AREN,美股
27,NVCT,Nuvectis Pharma Inc,30.19,18.2,18.94,13.25,13.95,4.22,1.5,7.13,-17.96,190668,3368360.0,13.98,231463851,231463851,105.NVCT,美股
34,BBIG,Vinco Ventures Inc,28.02,3.29,3.45,2.99,3.34,0.72,74.07,7.9,-0.87,139294852,452826224.0,2.57,618693031,618693031,105.BBIG,美股
35,TRHC,Tabula Rasa HealthCare Inc,27.33,4.1,4.15,2.77,3.17,0.88,4.9,2.47,-1.34,1267518,4612457.0,3.22,105992831,105992831,105.TRHC,美股
38,FNKO,Funko Inc-A,26.91,21.22,21.48,18.7,20.08,4.5,10.97,11.34,24.17,5486961,111896390.0,16.72,1061211542,1061211542,105.FNKO,美股
44,SWVL,Swvl Holdings Corp-A,23.88,7.47,8.44,6.13,6.13,1.44,5.74,9.42,-35.46,6824079,51967449.0,6.03,888056555,888056555,105.SWVL,美股
50,MTR,Mesa Royalty Trust,21.64,15.85,16.74,13.0,13.29,2.82,6.8,3.64,39.03,126806,1901568.0,13.03,29537902,29537902,106.MTR,美股
53,FRGE,Forge Global Holdings Inc,20.67,32.58,32.58,25.11,25.92,5.58,1.02,0.54,588.79,1722326,50115533.0,27.0,5513312251,5513312251,106.FRGE,美股
58,CO,国际脐带血库,19.55,2.63,2.65,2.19,2.25,0.43,0.59,1.09,3.94,721333,1789049.0,2.2,319679327,319679327,106.CO,美股
59,BOOM,DMC Global Inc,19.3,25.41,26.38,22.4,23.91,4.11,2.27,2.37,-2452.59,441911,11162225.0,21.3,495423700,495423700,105.BOOM,美股
61,ACRX,AcelRx Pharmaceuticals Inc,19.05,0.25,0.25,0.21,0.22,0.04,1.34,2.5,-1.05,1970046,440085.0,0.21,36777252,36777252,105.ACRX,美股
67,RADI,Radius Global Infrastructure In,17.68,14.71,15.25,11.98,12.48,2.21,6.43,7.82,-23.89,6781654,97831364.0,12.5,1550270425,1550270425,105.RADI,美股
70,SKYH,Sky Harbour Group Corp-A,17.15,7.31,8.35,5.75,6.11,1.07,10.97,7.7,141.71,6265374,46433540.0,6.24,417619065,417619065,107.SKYH,美股
71,BRBR,BellRing Brands Inc,17.07,24.42,24.77,21.76,22.5,3.56,1.32,2.34,120.65,1796527,43038280.0,20.86,3329960797,3329960797,106.BRBR,美股
72,HGEN,Humanigen Inc,16.85,2.15,2.37,1.79,1.81,0.31,6.3,4.45,-0.64,4449471,9685319.0,1.84,151862466,151862466,105.HGEN,美股
77,UDMY,Udemy Inc,16.65,12.54,12.67,10.49,10.7,1.79,1.03,1.34,-21.88,1442154,17336377.0,10.75,1751268584,1751268584,105.UDMY,美股
79,CZOO,Cazoo Group Ltd-A,15.79,1.32,1.33,1.1,1.15,0.18,0.32,0.51,-,2434360,3045089.0,1.14,1004985902,1004985902,106.CZOO,美股
80,GDYN,Grid Dynamics Holdings Inc,15.63,17.39,17.94,15.87,16.67,2.35,2.61,2.81,-151.21,1746896,29715326.0,15.04,1164336355,1164336355,105.GDYN,美股
85,SQNS,Sequans Communications SA ADR,15.19,3.11,3.11,2.57,2.7,0.41,0.59,2.97,-7.16,277433,815053.0,2.7,145054074,145054074,106.SQNS,美股
86,STEM,Stem Inc-A,15.05,8.79,9.08,7.44,7.81,1.15,4.82,1.99,-13.38,7418039,63606992.0,7.64,1354163298,1354163298,106.STEM,美股
89,CAN,嘉楠科技,14.85,4.1,4.11,3.5,3.56,0.53,9.2,4.28,2.25,15812293,61412461.0,3.57,704485658,704485658,105.CAN,美股
97,CELP,Cypress Environmental Partners ,13.95,0.49,0.49,0.44,0.47,0.06,2.75,1.37,-0.57,340399,160308.0,0.43,6056934,6056934,106.CELP,美股
99,UNM,尤纳姆,13.79,36.31,36.51,33.79,33.79,4.4,2.82,2.47,8.86,5662272,202725194.0,31.91,7301742530,7301742530,106.UNM,美股
103,MRVI,Maravai LifeSciences Holdings I,13.38,32.37,33.91,26.83,27.38,3.82,1.85,2.27,45.38,4719296,146765270.0,28.55,8261063797,8261063797,105.MRVI,美股
107,JNCE,Jounce Therapeutics Inc,12.96,5.49,5.87,5.34,5.57,0.63,2.02,3.48,-2.79,1044123,5846121.0,4.86,283692105,283692105,105.JNCE,美股
111,CMPX,Compass Therapeutics Inc,12.67,1.69,1.71,1.41,1.46,0.19,0.09,0.14,-2.08,92398,145810.0,1.5,171173839,171173839,105.CMPX,美股
112,SPRO,Spero Therapeutics Inc,12.5,2.07,2.38,1.7,1.84,0.23,7.25,0.51,-0.76,2374571,5044605.0,1.84,67804007,67804007,105.SPRO,美股
115,ATHX,Athersys Inc,12.5,0.63,0.69,0.51,0.54,0.07,3.66,2.42,-1.83,9228997,5618378.0,0.56,158739708,158739708,105.ATHX,美股
116,ENLV,Enlivex Therapeutics Ltd,12.34,4.28,4.28,3.82,3.82,0.47,0.94,0.8,-5.04,173149,710704.0,3.81,78638268,78638268,105.ENLV,美股
117,HEAR,乌龟海岸,12.22,16.62,17.29,15.1,15.1,1.81,10.36,2.7,15.46,1707948,28137223.0,14.81,273883207,273883207,105.HEAR,美股
118,AVLR,Avalara Inc,12.06,78.42,78.66,67.59,69.1,8.44,5.96,3.88,-53.94,5239937,395681696.0,69.98,6889959086,6889959086,106.AVLR,美股
121,PMTS,CPI Card Group Inc,11.93,15.39,15.62,13.0,13.75,1.64,0.74,3.43,10.87,83594,1203335.0,13.75,173221622,173221622,105.PMTS,美股
122,CODI,Compass Group Diversified Holdi,11.8,23.11,23.25,20.85,21.2,2.44,0.99,2.29,14.16,691502,15512599.0,20.67,1621678964,1621678964,106.CODI,美股
127,GRFS,基立福,11.25,12.56,12.67,11.92,11.92,1.27,0.17,1.8,39.88,1175773,14592899.0,11.29,8522461747,8522461747,105.GRFS,美股
128,CCXI,ChemoCentryx Inc,11.13,17.38,19.48,17.19,18.26,1.74,11.77,4.77,-9.38,8372826,151395857.0,15.64,1236449733,1236449733,105.CCXI,美股
135,BLCO,Bausch + Lomb Corp,11.11,20.0,20.2,18.4,18.5,2.0,4.35,-,38.46,15225318,292466688.0,18.0,7000000000,7000000000,106.BLCO,美股
137,TWOU,2U Inc,11.0,10.39,10.6,9.03,9.5,1.03,3.51,1.43,-4.11,2698830,27523276.0,9.36,799937394,799937394,105.TWOU,美股
138,HMPT,Home Point Capital Inc,10.97,3.44,3.48,3.01,3.1,0.34,0.06,0.78,2.87,76378,252958.0,3.1,477358380,477358380,105.HMPT,美股
143,ANIX,Anixa Biosciences Inc,10.61,3.65,3.69,3.17,3.43,0.35,0.52,0.96,-7.55,155517,533091.0,3.3,110055964,110055964,105.ANIX,美股
144,CVET,Covetrus Inc,10.52,15.45,15.63,13.39,14.04,1.47,1.14,1.68,-39.89,1591591,24030108.0,13.98,2153818853,2153818853,105.CVET,美股
150,CERS,Cerus Corp,10.0,5.28,5.29,4.5,4.74,0.48,1.79,1.2,-17.18,3167362,16100854.0,4.8,934022639,934022639,105.CERS,美股
151,PASG,Passage BIO Inc,9.85,2.23,2.28,2.03,2.16,0.2,1.59,0.96,-0.65,861739,1895202.0,2.03,121106151,121106151,105.PASG,美股
152,NRG,NRG Energy Inc,9.79,41.4,41.45,38.25,38.64,3.69,3.33,2.67,4.49,7897765,319207408.0,37.71,9823539384,9823539384,106.NRG,美股
153,XPON,Expion360 Inc,9.71,3.84,3.92,3.41,3.42,0.34,4.66,0.57,-5.24,300464,1114545.0,3.5,24748800,24748800,105.XPON,美股
154,CPS,Cooper-Standard Holdings Inc,9.65,6.25,6.59,5.34,5.53,0.55,8.02,0.99,-0.33,1368206,8528361.0,5.7,106642931,106642931,106.CPS,美股
155,VRAY,ViewRay Inc,9.6,2.74,2.81,2.41,2.81,0.24,1.72,1.57,-4.49,3105818,8251132.0,2.5,494456276,494456276,105.VRAY,美股
156,LLAP,Terran Orbital Corp,9.56,4.93,5.05,4.38,4.55,0.43,0.26,0.94,-276.2,362146,1728875.0,4.5,676866593,676866593,106.LLAP,美股
157,TCRT,Alaunos Therapeutics Inc,9.52,0.69,0.71,0.61,0.65,0.06,1.02,0.45,-1.89,2200809,1442330.0,0.63,149005887,149005887,105.TCRT,美股
159,TNON,Tenon Medical Inc,9.51,39.73,41.5,34.83,37.0,3.45,1.31,0.6,-63.34,146810,5609858.0,36.28,446438104,446438104,105.TNON,美股
160,OMGA,Omega Therapeutics Inc,9.51,3.57,3.68,3.05,3.24,0.31,0.48,1.05,-2.5,231559,815011.0,3.26,170818984,170818984,105.OMGA,美股
162,ATRO,Astronics Corp,9.49,10.73,11.38,9.69,10.05,0.93,0.79,1.52,-13.38,252607,2633392.0,9.8,342175880,342175880,105.ATRO,美股
163,ATGE,Adtalem Global Education Inc,9.39,30.87,34.82,30.46,32.99,2.65,3.26,4.16,-214.83,1469846,46446839.0,28.22,1393580771,1393580771,106.ATGE,美股
168,BROG,Brooge Energy Ltd,9.22,8.41,8.5,7.6,7.92,0.71,0.0,0.53,76.37,3504,28265.0,7.7,921633852,921633852,105.BROG,美股
169,UONE,Urban One Inc-A,9.21,9.72,9.75,8.48,8.8,0.82,3.67,1.18,3.03,438793,4022493.0,8.9,479154534,116316897,105.UONE,美股
170,OTRK,Ontrak Inc,9.16,1.43,1.45,1.25,1.3,0.12,3.41,0.43,-0.8,710002,977808.0,1.31,29788788,29788788,105.OTRK,美股
172,MRKR,Marker Therapeutics Inc,9.09,0.36,0.37,0.33,0.34,0.03,0.27,1.0,-0.71,226484,78643.0,0.33,29908323,29908323,105.MRKR,美股
174,ADTN,亚川,9.04,18.34,18.47,16.67,16.89,1.52,1.5,1.65,-84.52,735643,13256040.0,16.82,900865110,900865110,105.ADTN,美股
175,ULH,环球物流控股,8.99,23.51,24.13,22.55,23.45,1.94,0.25,1.18,8.55,65988,1539008.0,21.57,630137895,630137895,105.ULH,美股
176,WW,慧俪轻体,8.98,9.83,10.04,8.87,9.01,0.81,3.25,1.8,10.34,2283389,22208878.0,9.02,691355971,691355971,105.WW,美股
177,SRTS,Sensus Healthcare Inc,8.94,7.8,8.23,7.56,7.92,0.64,3.17,3.0,31.58,528374,4122120.0,7.16,130084874,130084874,105.SRTS,美股
178,VACC,Vaccitech plc ADR,8.8,5.07,5.2,4.74,4.74,0.41,0.01,1.69,-3.71,3676,18613.0,4.66,188582123,188582123,105.VACC,美股
180,ESTE,Earthstone Energy Inc-A,8.74,15.18,15.36,13.75,14.25,1.22,1.53,1.28,219.53,1729272,25731843.0,13.96,1720858583,1720858583,106.ESTE,美股
181,AAON,艾伦建材,8.72,52.11,52.72,49.86,52.72,4.18,0.84,2.67,47.07,443400,22641776.0,47.93,2765539086,2765539086,105.AAON,美股
192,CVM,CEL-SCI Corp,8.16,3.05,3.09,2.62,2.8,0.23,2.05,1.01,-3.53,889804,2500441.0,2.82,132112607,132112607,107.CVM,美股
194,ANTE,悦航阳光,8.04,1.21,1.22,1.12,1.12,0.09,0.02,0.45,3.46,3814,4551.0,1.12,21532421,21532421,105.ANTE,美股
195,BBUC,Brookfield Business Corp-A,8.01,25.62,26.33,23.77,23.77,1.9,0.07,1.84,70.41,64929,1657576.0,23.72,2534899318,2534899318,106.BBUC,美股
196,RMCF,洛矶山巧克力工厂,8.0,6.21,6.25,5.48,5.83,0.46,0.3,1.77,26.16,18725,112745.0,5.75,38376806,38376806,105.RMCF,美股
197,HVT_A,哈弗蒂家具-A,8.0,27.54,27.62,27.35,27.35,2.04,0.09,6.97,0.39,1206,33243.0,25.5,460032071,35447891,106.HVT_A,美股
198,AUUD,Auddia Inc,7.94,2.04,2.14,1.73,1.82,0.15,1.38,5.47,-1.89,172538,332164.0,1.89,25530117,25530117,105.AUUD,美股
199,NYXH,Nyxoah SA,7.88,15.88,16.02,15.12,15.54,1.16,0.04,2.19,-13.1,9268,144039.0,14.72,409662061,409662061,105.NYXH,美股
201,MAYS,梅斯物业,7.82,42.05,42.22,40.5,40.5,3.05,0.07,1.26,301.67,1481,61457.0,39.0,84763549,84763549,105.MAYS,美股
202,BMEA,Biomea Fusion Inc,7.8,4.01,4.09,3.57,3.74,0.29,0.34,0.61,-2.86,101510,401281.0,3.72,118757674,118757674,105.BMEA,美股
203,RGA,美国再保险集团,7.74,118.7,119.82,113.0,113.4,8.53,1.06,1.89,19.16,711679,84053013.0,110.17,7951696738,7951696738,106.RGA,美股
208,OXBR,Oxbridge Re Holdings Ltd,7.6,5.24,5.26,4.87,4.87,0.37,1.31,1.66,3.54,75994,389173.0,4.87,30295516,30295516,105.OXBR,美股
209,PTVE,Pactiv Evergreen Inc,7.53,11.0,11.23,10.55,10.66,0.77,0.46,2.93,84.97,821686,8929415.0,10.23,1954352422,1954352422,105.PTVE,美股
212,SCU,Sculptor Capital Management Gro,7.45,12.4,12.74,11.19,11.31,0.86,0.44,1.08,42.38,259376,3152498.0,11.54,734032967,734032967,106.SCU,美股
213,PEPG,PepGen Inc,7.42,12.89,16.99,11.5,15.6,0.89,7.35,-,-,1511979,19924317.0,12.0,265069702,265069702,105.PEPG,美股
216,DLNG,Dynagas LNG Partners LP,7.35,3.65,3.65,3.36,3.44,0.25,0.31,1.64,2.86,113588,397891.0,3.4,134328202,134328202,106.DLNG,美股
217,ENSV,Enservco Corp,7.33,2.93,2.93,2.62,2.74,0.2,4.18,0.6,-4.36,477394,1343345.0,2.73,33496592,33496592,107.ENSV,美股
218,WEYS,Weyco Group Inc,7.31,25.4,25.9,23.64,23.75,1.73,0.36,1.02,11.93,34743,859620.0,23.67,245126078,245126078,105.WEYS,美股
220,CTXR,Citius Pharmaceuticals Inc,7.22,1.04,1.14,0.98,1.01,0.07,3.49,2.8,-6.29,5090502,5407022.0,0.97,151870815,151870815,105.CTXR,美股
221,IMMX,Immix Biopharma Inc,7.19,1.49,1.56,1.34,1.35,0.1,0.61,1.49,-0.85,84123,122030.0,1.39,20688656,20688656,105.IMMX,美股
223,TOMZ,TOMI Environmental Solutions In,7.14,0.75,0.77,0.73,0.77,0.05,0.11,0.96,-3.34,22142,16787.0,0.7,14799529,14799529,105.TOMZ,美股
229,EOG,EOG能源,7.13,132.22,132.35,125.05,125.9,8.8,1.2,1.86,17.69,7042613,914670672.0,123.42,77443035400,77443035400,106.EOG,美股
230,NOG,Northern Oil and Gas Inc,7.11,29.23,29.39,26.93,27.8,1.94,2.09,1.77,355.36,1614337,46344685.0,27.29,2260452067,2260452067,106.NOG,美股
232,MICT,MICT Inc,7.02,0.61,0.61,0.58,0.59,0.04,0.32,0.7,-2.1,392110,234435.0,0.57,74685701,74685701,105.MICT,美股
233,TXRH,德州公路酒吧,7.01,83.91,85.08,78.82,81.93,5.5,4.47,1.95,22.41,3059369,253833099.0,78.41,5744459217,5744459217,105.TXRH,美股
234,BPT,BPT信托,7.01,15.72,15.91,14.14,14.77,1.03,3.54,1.49,43.07,756809,11462954.0,14.69,336408000,336408000,106.BPT,美股
235,BNSO,恒异电子,7.01,2.9,2.96,2.28,2.55,0.19,0.23,2.37,-25.89,11387,29618.0,2.71,14085842,14085842,105.BNSO,美股
236,HES,赫斯,7.01,117.25,117.33,108.73,111.64,7.68,1.06,1.76,50.41,3301976,378325920.0,109.57,36495533636,36495533636,106.HES,美股
