SYM,Start,End,FlPL,StdPL,FixPL
BABA,2021-10-12,2022-01-07,0.0$,0.0%,-22.58%
BZUN,2021-10-14,2022-01-07,0.0$,0.0%,-1.12%
DADA,2021-10-14,2022-01-07,0.0$,0.0%,-51.76%
HX,2021-08-27,2021-11-18,0.0$,0.0%,35.4%
JD,2021-10-14,2022-01-07,0.0$,0.0%,-16.08%
JWEL,2021-10-14,2022-01-07,0.0$,0.0%,108.49%
LITB,2021-10-14,2022-01-07,0.0$,0.0%,-2.11%
MOGU,2021-10-14,2022-01-07,0.0$,0.0%,-5.01%
MOHO,2021-10-14,2022-01-07,0.0$,0.0%,-39.9%
PDD,2021-10-14,2022-01-07,0.0$,0.0%,-39.64%
RERE,2021-10-14,2022-01-07,0.0$,0.0%,-36.1%
SECO,2021-10-14,2022-01-07,0.0$,0.0%,-64.57%
VIPS,2021-10-14,2022-01-07,0.0$,0.0%,-22.29%
YJ,2021-10-14,2022-01-07,0.0$,0.0%,-41.63%
