SYM,Start,End,FlPL,StdPL,FixPL
BABA,2021-10-12,2022-01-07,-1358.39$,-9.46%,-22.58%
BZUN,2021-10-14,2022-01-07,0.0$,0.0%,-1.12%
DADA,2021-10-14,2022-01-07,-382.1$,-20.07%,-51.76%
HX,2021-08-27,2021-11-18,-113.85$,-19.81%,35.4%
JD,2021-10-14,2022-01-07,-373.28$,-4.17%,-16.08%
JWEL,2021-10-14,2022-01-07,408.0$,58.15%,108.49%
LITB,2021-10-14,2022-01-07,-20.3$,-11.53%,-2.11%
MOGU,2021-10-14,2022-01-07,-7.75$,-7.82%,-5.01%
MOHO,2021-10-14,2022-01-07,-23.6$,-36.41%,-39.9%
PDD,2021-10-14,2022-01-07,-771.98$,-11.36%,-39.64%
RERE,2021-10-14,2022-01-07,-366.0$,-40.41%,-36.1%
SECO,2021-10-14,2022-01-07,-14.28$,-17.96%,-64.57%
VIPS,2021-10-14,2022-01-07,43.99$,3.46%,-22.29%
YJ,2021-10-14,2022-01-07,-40.55$,-41.74%,-41.63%
