SYM,Start,End,FlPL,StdPL,FixPL
AAL,2021-09-24,2021-12-17,-156.4$,-7.07%,-21.36%
AAPL,2021-09-24,2021-12-17,164.75$,1.16%,18.44%
ERJ,2021-09-28,2021-12-17,-166.0$,-10.8%,-12.77%
GE,2021-09-24,2021-12-17,351.0$,3.4%,-12.0%
NIO,2021-09-28,2021-12-17,107.46$,3.13%,-14.4%
TSP,2021-09-24,2021-12-17,602.78$,17.02%,-10.55%
SOHO,2021-09-28,2021-12-17,65.15$,30.34%,-17.96%
AHT,2021-09-28,2021-12-17,NA,NA,NA
GSAT,2021-09-28,2021-12-17,28.23$,20.47%,-24.4%
EDU,2021-09-28,2021-12-17,20.67$,9.53%,4.95%
PLTR,2021-09-28,2021-12-17,45.96$,2.0%,-21.33%
ATOS,2021-09-28,2021-12-17,-22.24$,-10.33%,-38.82%
CRIS,2021-09-24,2021-12-17,-106.08$,-18.47%,-39.41%
MFGP,2021-09-28,2021-12-17,18.19$,3.62%,-2.54%
MITT,2021-09-28,2021-12-17,-76.62$,-6.67%,-8.42%
