symbol,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,fax,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,underlyingSymbol,quoteType,underlyingExchangeSymbol,headSymbol,messageBoardId,uuid,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,logo_url,UpdateTime,address2,lastDividendDate,impliedSharesOutstanding,toCurrency,err,quoteSourceName,averageDailyVolume3Month,regularMarketTime,regularMarketChange,currencySymbol,preMarketPrice,exchangeDataDelayedBy,postMarketChange,postMarketPrice,exchangeName,preMarketChange,regularMarketSource,marketState,preMarketSource,regularMarketChangePercent,postMarketTime,postMarketSource,postMarketChangePercent,preMarketTime,preMarketChangePercent
BAM,M5J 2T3,Financial Services,150000.0,"Brookfield Asset Management is a leading global alternative asset manager and one of the largest investors in real assets. Our investment focus is on real estate, renewable power, infrastructure and private equity assets. Our objective is to generate attractive long-term risk-adjusted returns for the benefit of our clients and shareholders. We manage a range of public and private investment products and services for institutional and retail clients. We earn asset management income for doing so and align our interests with our clients by investing alongside them. We have an exceptionally strong balance sheet, with over $30 billion of capital invested, primarily in our four listed partnerships: Brookfield Property Partners, Brookfield Infrastructure Partners, Brookfield Renewable Partners and Brookfield Business Partners. This access to large-scale capital enables us to make investments in sizeable, premier assets across geographies and asset classes that few managers are able to do. We create value for BAM shareholders in the following ways: As an asset manager Â by investing both our own capital and that of our investors Â this enables us to increase the scale of our operations, and enhances our financial returns through base management fees and performance-based income; as an investor and capital allocator Â we strive to invest at attractive valuations, particularly in value-oriented situations that create opportunities for superior valuation gains and cash flow returns, or by monetizing assets at appropriate times to realize value; and as an owner-operator Â we constantly work to increase the value of the assets within our operating businesses and the cash flows they produce through our operating expertise, development capabilities and effective financing.",Toronto,416-363-9491,ON,Canada,[],http://www.brookfield.com,1,Brookfield Place,416-363-2856,Asset Management,0.25888002,0.022,0.26055,8489999872.0,0.043,0.16590999,16407000064.0,50.0,buy,15287000000.0,7583499776.0,55.5,56.71,,1.428,0.019989999,10.0,56.13,117.99,0.03893,63.0,9825999872.0,148589002752.0,63376998400.0,6.462,USD,41.653,0.916,2.0,NYQ,Brookfield Asset Management Inc,Brookfield Asset Management Inc.,America/New_York,EDT,False,-14400000.0,,EQUITY,,,finmb_364332,,us_market,,5.017,,19.38,0.7221378,,3.03,,1637040000.0,,,,21.673,27034763.0,0.0171,,1609372800.0,0.67788005,1314000000.0,0.857,0.13,0.3202082,2.6166196,0.16075,1672444800.0,,1617148800.0,9.09,1623715200.0,1357185038.0,1.350326,317970710528.0,2,,1585785600.0,3:2,,,,1.4712816,1626307200.0,1.94,,18.716171,,,18163210.0,,,55.83,56.0,46.605755,0.008722909,0.5765,,56.98,,3607900.0,55.83,51.76647,0.487,56.0,3607900.0,,,0.52,1622073600.0,,,55.9,USD,66.17269,2864233.0,,,,93245415424.0,,,2981109.0,55.9,56.71,1000.0,2864233.0,56.98,,1.33,29.09,56.75,False,0.0092,900.0,56.98,56.71,https://logo.clearbit.com/brookfield.com,2021-08-08,Suite 300 181 Bay Street,1622073600.0,1637129984.0,,,,,,,,,,,,,,,,,,,,,,
BNS,B3J 1W1,Financial Services,89847.0,"The Bank of Nova Scotia provides various banking products and services in Canada, the United States, Mexico, Peru, Chile, Colombia, the Caribbean and Central America, and internationally. It operates through Canadian Banking, International Banking, Global Banking and Markets, and Global Wealth Management segments. The company offers financial advice and solutions, and day-to-day banking products, including debit and credit cards, chequing and saving accounts, investments, mortgages, loans, and insurance to individuals; and business banking solutions comprising lending, deposit, cash management, and trade finance solutions to small businesses and commercial customers, including automotive financing solutions to dealers and their customers. It also provides wealth management advice and solutions, including online brokerage, mobile investment, full-service brokerage, trust, private banking, and private investment counsel services; and retail mutual funds, exchange traded funds, liquid alternative funds, and institutional funds. In addition, the company offers international banking services for retail, corporate, and commercial customers; and lending and transaction, investment banking advisory, and capital markets access services to corporate customers. Further, it provides Internet, mobile, and telephone banking services. The company operates a network of 952 branches and approximately 3,540 automated banking machines in Canada; and approximately 1,400 branches, 5,200 ATMs, and 22 contact centers internationally. The Bank of Nova Scotia was founded in 1832 and is headquartered in Halifax, Canada.",Halifax,,NS,Canada,[],http://www.scotiabank.com,1,Bank of Nova Scotia Building,,Banks—Diversified,0.0,0.2969,0.0,-70714998784.0,0.182,0.3836,,69.67,buy,25252000000.0,,71.17,63.35,0.884,,0.00679,4.0,71.51,,0.114479996,74.01,361927999488.0,182681993216.0,26460000256.0,298.164,CAD,21.832,,1.8,NYQ,Bank Nova Scotia Halifax Pfd 3,The Bank of Nova Scotia,America/New_York,EDT,False,-14400000.0,,EQUITY,,,finmb_873647,,us_market,,-3.699,,,0.46203554,,5.89,,1213859968.0,,,,54.342,6500753.0,0.0054,,1604102400.0,0.56349,7631000064.0,4.963,0.73,0.3202082,1.1657649,0.00022,1667174400.0,,1619740800.0,4.12,1623715200.0,1200709940.0,0.841176,-97875222528.0,2,,1083196800.0,2:1,,,0.807,2.9195585,1626307200.0,2.6,,10.755518,,,6866406.0,,,62.97,63.14,62.189064,0.05717008,0.5806,,63.45,,939057.0,62.97,63.261177,3.6,63.14,939057.0,,,2.86,1625184000.0,,,63.06,USD,12.764457,1613668.0,,,,77251518464.0,,,1374557.0,63.06,63.38,1100.0,1613668.0,68.02,,4.62,40.16,63.3,False,0.045100003,1100.0,63.45,63.35,https://logo.clearbit.com/scotiabank.com,2021-08-08,1709 Hollis Street,1625529600.0,,,,,,,,,,,,,,,,,,,,,,,
CNI,H3B 2M9,Industrials,24577.0,"Canadian National Railway Company, together with its subsidiaries, engages in the rail and related transportation business. Its portfolio of goods includes petroleum and chemicals, grain and fertilizers, coal, metals and minerals, forest products, intermodal, and automotive products serving exporters, importers, retailers, farmers, and manufacturers. The company operates a network of 19,500 route miles of track spanning Canada and the United States. It also provides vessels and docks, transloading and distribution, automotive logistics, and freight forwarding and transportation management services. The company was founded in 1919 and is headquartered in Montreal, Canada.",Montreal,514 399 7091,QC,Canada,[],http://www.cn.ca,1,935 de La Gauchetiere Street West,,Railroads,0.51937,0.25527,0.5563,5936999936.0,-0.003,0.40342999,7171999744.0,90.33,hold,7675000000.0,2456250112.0,118.02,107.86,-0.035,1.189,0.07619,21.0,118.39,66.94,0.18205,137.02,518000000.0,13315000320.0,13809000448.0,0.732,CAD,19.423,0.618,2.6,NYQ,Canadian National Railway Compa,Canadian National Railway Company,America/New_York,EDT,True,-14400000.0,,EQUITY,,,finmb_353020,6f071915-1624-390a-83a1-e93a716c2d1d,us_market,,6.328,,12.183,,,5.44,,708000000.0,,,,28.067,12642096.0,0.0179,,1609372800.0,0.76989996,3524999936.0,4.02,,,3.8429472,0.00195,1672444800.0,,1617148800.0,4.77,1619740800.0,605906400.0,0.629531,87377723392.0,2,,1385942400.0,2:1,,,-0.037,5.531174,1622160000.0,3.36,,19.827206,,,4404250.0,,,108.7,108.66,109.63893,0.02152714,0.4727,,109.69,,1196712.0,108.7,105.81715,2.34,108.66,1196712.0,,,2.03,1623110400.0,,,107.71,USD,26.830847,1305246.0,,,,76379987968.0,,,2039440.0,107.71,107.74,1200.0,1305246.0,119.61,,1.65,98.69,107.72,False,0.019299999,800.0,109.69,107.86,https://logo.clearbit.com/cn.ca,2021-08-08,,,,,,,,,,,,,,,,,,,,,,,,,
BMO,H2Y 1L6,Financial Services,43360.0,"Bank of Montreal provides diversified financial services primarily in North America. The company's personal banking products and services include checking and savings accounts, credit cards, mortgages, and financial and investment advice services; and commercial banking products and services comprise business deposit accounts, commercial credit cards, business loans and commercial mortgages, cash management solutions, foreign exchange, specialized banking programs, treasury and payment solutions, and risk management products for small business and commercial banking customers. It also offers investment and wealth advisory services; digital investing services; financial services and solutions; and investment management, and trust and custody services to institutional, retail, and high net worth investors. In addition, the company provides life insurance, accident and sickness insurance, and annuity products; creditor and travel insurance to bank customers; and reinsurance solutions. Further, it offers client's debt and equity capital-raising services, as well as loan origination and syndication, balance sheet management, and treasury management; strategic advice on mergers and acquisitions, restructurings, and recapitalizations, as well as valuation and fairness opinions; and trade finance, risk mitigation, and other operating services. Additionally, the company provides research and access to markets for institutional, corporate, and retail clients; trading solutions that include debt, foreign exchange, interest rate, credit, equity, securitization and commodities; new product development and origination services, as well as risk management advice and services to hedge against fluctuations; and funding and liquidity management services to its clients. It operates through approximately 1,400 bank branches and 4,800 automated banking machines in Canada and the United States. The company was founded in 1817 and is headquartered in Montreal, Canada.",Montreal,416-867-7366,QC,Canada,[],http://www.bmo.com,1,129 rue Saint Jacques,,Banks—Diversified,0.0,0.25075,0.0,-83000000.0,0.438,0.38334998,,82.6,hold,22233000000.0,,84.59,99.08,0.917,,0.0063300002,5.0,85.95,,0.110810004,91.15,334349008896.0,153721995264.0,24470999040.0,516.506,CAD,37.942,,2.6,NYQ,Bank Of Montreal,Bank of Montreal,America/New_York,EDT,False,-14400000.0,,EQUITY,,,finmb_19053,,us_market,,-4.583,,,0.76891506,,7.19,,647329024.0,,,,79.672,3688049.0,0.0057,,1604102400.0,0.48939,5887000064.0,7.299,1.06,0.32916343,1.2435988,0.00045000002,1667174400.0,,1619740800.0,5.86,1623715200.0,647128152.0,1.183431,-112148316160.0,2,,984614400.0,2:1,,,0.891,2.6209538,1626307200.0,3.0,,13.780251,,,4640301.0,,,99.13,98.45,92.822556,0.042772118,0.4654,,99.545,,1085628.0,99.13,101.26886,4.24,98.45,1085628.0,,,3.51,1627862400.0,,,98.45,USD,13.574463,248676.0,,,,64137359360.0,,,795471.0,98.45,98.95,800.0,248676.0,106.88,,4.05,55.2,98.95,False,0.0352,800.0,99.545,99.08,https://logo.clearbit.com/bmo.com,2021-08-08,,1627862400.0,,,,,,,,,,,,,,,,,,,,,,,
LULU,V6J 1C7,Consumer Cyclical,25000.0,"lululemon athletica inc., together with its subsidiaries, designs, distributes, and retails athletic apparel and accessories for women and men. It operates through two segments, Company-Operated Stores and Direct to Consumer. The company offers pants, shorts, tops, and jackets for healthy lifestyle and athletic activities, such as yoga, running, and training, as well as other sweaty pursuits. It also provides fitness-related accessories. The company sells its products through a chain of company-operated stores; outlets and warehouse sales; a network of wholesale accounts, such as yoga studios, health clubs, and fitness centers; temporary locations, including seasonal stores; and license and supply arrangements, as well as directly to consumer through mobile apps, and lululemon.com e-commerce website. As of January 31, 2021, it operated 521 company-operated stores under the lululemon brand in the United States, Canada, the People's Republic of China, Australia, the United Kingdom, Japan, New Zealand, Germany, South Korea, Singapore, France, Malaysia, Sweden, Ireland, the Netherlands, Norway, and Switzerland. lululemon athletica inc. was founded in 1998 and is based in Vancouver, Canada.",Vancouver,604 732 6124,BC,Canada,[],http://www.lululemon.com,1,1818 Cornwall Avenue,604 874 6124,Apparel Retail,0.23548001,0.14172,0.56867003,1138688000.0,0.881,0.19680999,1171847936.0,275.0,buy,2463991000.0,737061632.0,395.0,408.52,4.05,2.336,0.16254999,27.0,388.5,29.739,0.31514,450.0,1179739008.0,785062016.0,4976381952.0,9.064,USD,38.187,1.282,2.1,NMS,lululemon athletica inc.,Lululemon Athletica Inc.,America/New_York,EDT,True,-14400000.0,,EQUITY,,,finmb_34125194,10638edc-0493-3833-8872-461c8dfb5def,us_market,,9.466,,40.2,,,8.29,,124952000.0,,,,20.264,1847606.0,0.0136,,1612051200.0,0.87121004,705236992.0,5.389,,,20.15989,0.042940002,1675123200.0,,1619913600.0,1.68,1620950400.0,119716818.0,1.34076,47108091904.0,2,,1310428800.0,2:1,,,4.063,11.111778,1623715200.0,1.74,,49.27865,,0.0175,2127466.0,,,414.39,412.44,337.5235,,0.0,,413.0,,621200.0,414.39,380.0543,,412.44,621200.0,,,,,,,406.53,USD,75.806274,604112.0,,,,55296450560.0,,,981568.0,406.53,412.44,1100.0,604112.0,415.34,,,269.28,412.23,False,,1000.0,413.0,408.52,https://logo.clearbit.com/lululemon.com,2021-08-07,,,,,,,,,,,,,,,,,,,,,,,,,
CM,M5L 1A2,Financial Services,44066.0,"Canadian Imperial Bank of Commerce, a diversified financial institution, provides various financial products and services to personal, business, public sector, and institutional clients in Canada, the United States, and internationally. The company operates through four strategic business units: Canadian Personal and Business Banking; Canadian Commercial Banking and Wealth Management; U.S. Commercial Banking and Wealth Management; and Capital Markets. The company offers chequing, savings, and business accounts; mortgages; loans, lines of credit, student lines of credit, and business and agriculture loans; investment and insurance services; and credit cards, as well as overdraft protection services. It also provides day-to-day banking, borrowing and credit, investing and wealth, specialty, and international services; correspondent banking and online foreign exchange services; and cash management services. The company serves its customers through its banking centers, as well as direct, mobile, and remote channels. Canadian Imperial Bank of Commerce was founded in 1867 and is headquartered in Toronto, Canada.",Toronto,416-980-2211,ON,Canada,[],http://www.cibc.com,1,Commerce Court,,Banks—Diversified,0.0,0.29948,0.0,-32468000768.0,0.548,0.42888,,94.97,hold,16252000000.0,,98.97,113.47,3.277,,0.00709,2.0,98.97,,0.13177,102.97,217969000448.0,168863006720.0,18208000000.0,485.387,CAD,40.746,,3.3,NYQ,Canadian Imperial Bank of Comme,Canadian Imperial Bank of Commerce,America/New_York,EDT,False,-14400000.0,,EQUITY,,,finmb_386873,,us_market,,0.306,,,0.6224257,,9.66,,449092992.0,,,,86.703,3964840.0,0.0088,,1604102400.0,0.52464,5311000064.0,9.36,1.185,0.34707916,1.3087206,0.00031,1667174400.0,,1619740800.0,5.5,1622160000.0,448860076.0,1.010519,5580610560.0,2,,,,,,3.118,2.798692,1625011200.0,2.96,,11.746377,,,3549637.0,,,113.44,113.79,102.39652,0.05148096,0.49240002,,113.66,,290387.0,113.44,116.377716,5.84,113.79,290387.0,,,4.73,1624579200.0,,,112.661,USD,12.122864,306150.0,,,,50958581760.0,,,520693.0,112.661,113.47,900.0,306150.0,120.65,,4.95,67.96,113.46,False,0.0417,800.0,113.66,113.47,https://logo.clearbit.com/cibc.com,2021-08-08,,1624579200.0,,,,,,,,,,,,,,,,,,,,,,,
BCE,H3E 3B3,Communication Services,50704.0,"BCE Inc., a telecommunications and media company, provides wireless, wireline, Internet, and television (TV) services to residential, business, and wholesale customers in Canada. It operates through three segments: Bell Wireless, Bell Wireline, and Bell Media. The Bell Wireless segment offers wireless voice and data communications products and services. The Bell Wireline segment provides data, including Internet access and Internet protocol television; and local telephone, long distance, satellite TV service, and connectivity, as well as other communications services and products. This segment also buys and sells local telephone, long distance, data, and other services from or to resellers, and other carriers. The Bell Media segment provides conventional TV, specialty TV, pay TV, and streaming services; and digital media, radio broadcasting, out-of-home advertising services. It owns and operates approximately 35 conventional TV stations; 27 specialty and four Pay TV channels; 3 direct-to-consumer streaming services; 109 licensed radio stations; and websites. The company was formerly known as Bell Canada Enterprises Inc. BCE Inc. was founded in 1880 and is headquartered in Verdun, Canada.",Verdun,800 339 6353,QC,Canada,[],http://www.bce.ca,1,Building A,514 786 3970,Telecom Services,0.35387,0.11286,0.42791,8295000064.0,0.012,0.22354001,8120999936.0,40.14,buy,9802000000.0,3421750016.0,48.01,50.75,-0.048,0.828,0.04942,14.0,47.54,128.548,0.10622,53.99,2607000064.0,28750999552.0,22948999168.0,2.882,CAD,25.375,0.674,2.5,NYQ,"BCE, Inc.",BCE Inc.,America/New_York,EDT,False,-14400000.0,,EQUITY,,,finmb_170260,,us_market,,3.329,,9.407,0.19327533,,2.88,,904614976.0,,,,19.924,4430073.0,0.0049,,1609372800.0,0.48534,2239000064.0,2.175,0.875,0.3202082,2.5471792,0.00022,1672444800.0,,1617148800.0,4.23,1623715200.0,904054077.0,0.320915,76395208704.0,2,,1152576000.0,0:1,,,-0.061,2.0106213,1626307200.0,7.58,,17.621527,,,4887866.0,,,50.52,50.69,47.140217,0.066765636,1.3599,,50.94,,1177128.0,50.52,49.52088,3.373,50.69,1177128.0,,,2.79,1623628800.0,,,50.6,USD,23.333334,1481739.0,,,,46141747200.0,,,1162339.0,50.6,50.73,2900.0,1481739.0,50.94,,5.24,39.91,50.72,False,0.055,2200.0,50.94,50.75,https://logo.clearbit.com/bce.ca,2021-08-08,4th Floor 1 Carrefour Alexander-Graham-Bell,1623628800.0,,,,,,,,,,,,,,,,,,,,,,,
CNQ,T2P 4J8,Energy,,"Canadian Natural Resources Limited acquires, explores for, develops, produces, markets, and sells crude oil, natural gas, and natural gas liquids (NGLs). The company offers synthetic crude oil (SCO), light and medium crude oil, bitumen (thermal oil), primary heavy crude oil, and Pelican Lake heavy crude oil. Its midstream assets include two crude oil pipeline systems; and a 50% working interest in an 84-megawatt cogeneration plant at Primrose. As of December 31, 2020, the company had total proved crude oil, bitumen, SCO, and NGLs reserves were 10,528 million barrels (MMbbl); total proved plus probable crude oil, bitumen, SCO, and NGLs reserves were 13,271 MMbbl; proved natural gas reserves were 9,465 billion cubic feet (Bcf); and total proved plus probable natural gas reserves were 15,922 Bcf. It operates primarily in Western Canada; the United Kingdom portion of the North Sea; and Offshore Africa. The company was formerly known as AEX Minerals Corporation and changed its name to Canadian Natural Resources Limited in December 1975. Canadian Natural Resources Limited was incorporated in 1973 and is headquartered in Calgary, Canada.",Calgary,403 517 7345,AB,Canada,[],http://www.cnrl.com,1,"2100, 855-2nd Street SW",403 517 7350,Oil & Gas E&P,0.37335,0.11705,0.42366,5525000192.0,0.468,0.06858,7094000128.0,33.5,buy,6115000000.0,3492000000.0,41.29,33.31,,0.809,0.0107700005,13.0,40.74,65.349,0.06689,49.86,588000000.0,21716000768.0,19000999936.0,0.496,CAD,16.07,0.562,1.9,NYQ,Canadian Natural Resources Limi,Canadian Natural Resources Limited,America/New_York,EDT,True,-14400000.0,,EQUITY,,,finmb_527692,0621bb7b-adff-3f7f-894f-0e1fdae832c1,us_market,,3.342,,8.951,,,1.86,,1184839936.0,,,,28.027,7673203.0,0.0064999997,,1609372800.0,0.76579005,2224000000.0,1.523,,,1.1884968,0.02158,1672444800.0,,1617148800.0,3.49,1620950400.0,1158249258.0,2.284681,63497773056.0,2,,1275350400.0,2:1,,,,2.0771022,1623715200.0,5.91,,17.908604,,,5647700.0,,,32.56,32.88,31.5385,0.053593364,0.9332,,33.435,,2710825.0,32.56,34.310287,1.745,32.88,2710825.0,,,1.52,1623888000.0,,,32.6,USD,21.871307,2287663.0,,,,39467020288.0,,,2778117.0,32.6,32.42,1100.0,2287663.0,38.1,,3.8,14.85,32.41,False,0.042600002,4000.0,33.435,33.31,https://logo.clearbit.com/cnrl.com,2021-08-08,,,,,,,,,,,,,,,,,,,,,,,,,
CVE,T2P 0M5,Energy,2413.0,"Cenovus Energy Inc., together with its subsidiaries, develops, produces, and markets crude oil, natural gas liquids, and natural gas in Canada, the United States and the Asia Pacific region. The company operates through Oil Sands, Conventional, and Refining and Marketing segments. The Oil Sands segment develops and produces bitumen in northeast Alberta. Its bitumen assets include Foster Creek, Christina Lake, and Narrows Lake, as well as other projects in the early stages of development. The Conventional segment holds assets primarily located in Elmworth-Wapiti, Kaybob-Edson, and Clearwater operating areas of British Columbia and Alberta, as well as various interests in natural gas processing facilities. The Refining and Marketing segment transports and sells crude oil, natural gas, and NGLs. This segment owns a 50% ownership in Wood River and Borger refineries located in the United States; and owns and operates a crude-by-rail terminal in Alberta. Cenovus Energy Inc. was founded in 2009 and is headquartered in Calgary, Canada.",Calgary,403 766 2000,AB,Canada,[],http://www.cenovus.com,1,"225, 6 Avenue South West",403 766 7600,Oil & Gas Integrated,0.15329,0.0036199999,0.2204,2579000064.0,3.865,0.02841,4111000064.0,7.87,buy,1179000000.0,2066499968.0,11.22,8.41,,1.198,0.01095,14.0,10.85,69.932,0.0047400002,13.38,1055000000.0,16531999744.0,26819000320.0,0.523,CAD,16.522,0.712,2.5,NYQ,Cenovus Energy Inc,Cenovus Energy Inc.,America/New_York,EDT,False,-14400000.0,,EQUITY,,,finmb_44709159,,us_market,,1.21,,7.894,0.75646555,,0.47,,2017609984.0,,,,11.454,12490870.0,0.0062,,1609372800.0,0.46005002,80000000.0,0.035,0.0175,0.3268249,0.73424125,0.36624,1672444800.0,,1625011200.0,1.29,1623715200.0,1278177378.0,3.798816,32450537472.0,2,,,,,,,0.64812404,1626307200.0,0.6,,17.893618,,,8772097.0,,,8.15,8.1,7.971971,0.004294479,,,8.515,,8888700.0,8.15,9.025143,0.035,8.1,8888700.0,,,0.06,1631577600.0,,,8.0497,USD,240.2857,8544828.0,,,,17382039552.0,,,9940495.0,8.0497,8.42,45100.0,8544828.0,10.55,,1.85,3.15,8.41,False,0.0067000003,21500.0,8.515,8.41,https://logo.clearbit.com/cenovus.com,2021-08-08,PO Box 766,1623628800.0,,,,,,,,,,,,,,,,,,,,,,,
AEM,M5C 2Y7,Basic Materials,6210.0,"Agnico Eagle Mines Limited engages in the exploration, development, and production of mineral properties in Canada, Sweden, and Finland. The company operates through Northern Business and Southern Business segments. It primarily produces and sells gold deposit, as well as explores for silver, zinc, and copper deposits. The company's flagship property is the LaRonde mine located in the Abitibi region of northwestern Quebec, Canada. As of December 31, 2020, its LaRonde mine had a mineral reserve of approximately 3.8 million ounces of gold. The company is also involved in exploration activities in Europe, Latin America, and the United States. Agnico Eagle Mines Limited was incorporated in 1953 and is headquartered in Toronto, Canada.",Toronto,416 947 1212,ON,Canada,[],http://www.agnicoeagle.com,1,145 King Street East,416 367 4681,Gold,0.52446,0.19681999,0.57155997,1385083008.0,0.391,0.33526,1783500032.0,60.0,buy,1737461000.0,476915264.0,80.63,60.53,,2.299,0.074039996,16.0,82.18,29.577,0.12476,101.58,131952000.0,1682721024.0,3400626944.0,0.543,USD,14.041,0.484,2.1,NYQ,Agnico Eagle Mines Limited,Agnico Eagle Mines Limited,America/New_York,EDT,True,-14400000.0,,EQUITY,,,finmb_248095,69556bae-4514-39dd-bda4-69eac820fd16,us_market,,4.917,,9.376,,,3.24,,243040000.0,,,,23.409,3715420.0,0.0153,,1609372800.0,0.74143,669320000.0,2.74,,,2.5857575,0.00101,1672444800.0,,1617148800.0,2.46,1619740800.0,242451545.0,0.765217,16721307648.0,2,,,,,,,4.3686595,1622160000.0,0.6,,18.682098,,0.0167,1414361.0,,,61.83,60.3,64.53029,0.017790716,0.4,,60.89,,1099637.0,61.83,61.887714,1.1,60.3,1099637.0,,,1.4,1622160000.0,,,59.7,USD,22.09124,1269432.0,,,,14856180736.0,,,1227229.0,59.7,63.64,900.0,1269432.0,89.23,,1.03,54.66,63.61,False,0.0224,800.0,60.89,60.53,https://logo.clearbit.com/agnicoeagle.com,2021-08-08,Suite 400,,,,,,,,,,,,,,,,,,,,,,,,
